Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCC11,4.911532009548587,-1.1953194160709881,0.2911043660374434,-4.10615420284435,4.0230097023745516e-05,0.004206066709955336
ACSS3,18.73960741003836,1.0039727935876943,0.31698875579614255,3.1672189477703605,0.0015390439602665923,0.044210226931912865
ACTL8,29.944918899722555,-1.7894720495717118,0.52875714341871,-3.3842985798769094,0.0007136035537066971,0.029002660601773745
ADAMTSL4,792.3305666579233,-1.2930499504662545,0.2777277346225817,-4.6558185923470905,3.226959781002737e-06,0.0006825378487907567
ADARB2,14.781106300435646,-1.4161601261926824,0.4319238074198343,-3.2787267149091424,0.001042765653753857,0.03634444559610467
ADGRG7,5.245092454520602,2.2010473535324495,0.584051664872067,3.7685833050652735,0.00016417669460599884,0.011445191906880106
AHSG,3.4840164592722926,-1.8049171698922961,0.5174010917173752,-3.488429380582391,0.00048586714791238846,0.022272455614183572
AJAP1,16.804907621786796,-1.5626020927549338,0.3447870538815248,-4.532078786496063,5.840605668535621e-06,0.001079434655400428
ALB,17.814879815513198,-3.1418197337129845,0.5725455267925248,-5.4874583534236505,4.07758109306043e-08,1.9902777868589318e-05
ALPG,42.340577626430495,-2.239120052236654,0.6052862844301844,-3.6992743926860303,0.0002162167424864948,0.013450659836512793
AMDHD1,33.685487080941776,-1.673795973012283,0.3331987990862543,-5.0234153832559025,5.076059439016007e-07,0.000158063765472233
ANKRD1,10.686889560319008,-1.682146291080019,0.42535036526598735,-3.954731036913793,7.66207989705829e-05,0.006570060942360433
AP3B2,77.2976541652557,-1.0556734898151892,0.331995119292879,-3.17978617295243,0.0014738376258724788,0.04315693327331639
APCDD1L,32.00797719508023,-1.2585288824461809,0.37388231923159143,-3.366109649241313,0.0007623639760885379,0.030169658401604224
APOA2,4.081214323099918,-3.5019293009055774,1.1196799187830724,-3.1276164215856084,0.0017623000922176064,0.04873799282015955
AR,16.923108569850164,-1.7669593053506194,0.37468006640967094,-4.71591489315753,2.406270099744584e-06,0.0005948799690745182
ARG1,2.712976667086879,-2.02270561717952,0.5604049095422623,-3.6093645554098774,0.0003069479903528162,0.016985645187082003
ARSE,88.09378726393767,1.6672616351070328,0.43391923131379295,3.842331740077536,0.00012187095984195776,0.009206093617267888
ATF3,2114.07007643167,1.3268758037226134,0.20837271284848555,6.367800205622062,1.9175847460430275e-10,2.807934094282698e-07
B4GALNT2,21.32723192145097,-1.9958111124182192,0.5683314872282663,-3.51170251388274,0.00044524608957590225,0.02145747990168829
BCAR4,4.850322638709001,-4.547465077270881,1.1344339312780556,-4.008576393821099,6.108587849994774e-05,0.005617540015096644
BEST2,9.496806431394727,-2.0582973296177034,0.5077682513817426,-4.05361564851022,5.0432050421613575e-05,0.004898084244009367
BHMT2,18.151536712974263,-1.0560955256341182,0.33000456808558315,-3.200245171637234,0.0013731073126856804,0.041888575006866366
BMPER,15.450395648923095,-2.2260399890142533,0.3669876314987474,-6.065708481572766,1.3137323161524485e-09,1.316221493172527e-06
BNIP5,5.7015439045893626,1.8351080792726506,0.3910163460768488,4.693174844695586,2.6899739435533096e-06,0.000620656908224401
BPIFB4,4.25450730200315,-2.1086248136259473,0.6472598816138444,-3.257771528135517,0.0011229077360797146,0.03790012706385363
BTNL8,3.9833629777171944,3.2155517584813267,0.3634428323933634,8.847476059181306,8.952083198382709e-19,1.7041185576441323e-14
C11orf86,8.014583467636115,-3.597958463551859,0.7258238245982005,-4.957068563495565,7.156472730485386e-07,0.00020641002257199971
C17orf77,5.178550850691665,-3.1712873222916045,0.8178310213075242,-3.8776804005568826,0.00010545712596456807,0.008261242180500073
C1orf127,6.492491913519258,1.4559079489579594,0.23008490458306569,6.327698688430665,2.4884444826455854e-10,3.158001944776091e-07
